Latitude,Longitude,Region,Year,Season,Soil_Type,Rainfall_mm,Temperature_C,Humidity_%,Area_acres,Seed_Type,Seed_Cost (LKR),Fertilizer_Cost (LKR),Pesticide_Cost (LKR),Labor_Cost (LKR),Water_Cost (LKR),Machinery_Cost (LKR),Other_Costs (LKR),Total_Cost (LKR),Yield_kg,Cost_per_kg (LKR)
7.4224,80.4495,Kurunegala,2019,Yala,Clay,2387.04,32.14,75.16,3.47,BG300,8720.56,14662.41,4118.6,19837.05,3465.51,18663.8,4601.67,74335.8,8834.15,8.41
7.2806,81.632,Ampara,2023,Maha,Silt,1523.81,31.08,87.94,4.49,At306,8459.13,15704.38,2336.56,18232.57,7492.77,14883.58,1036.79,67348.72,14636.07,4.6
9.7992,80.1323,Jaffna,2025,Maha,Clay,1007.59,27.13,80.97,3.61,At402,7563.73,10691.23,4848.72,19744.98,4627.0,16704.39,3598.53,68477.03,11720.76,5.84
8.0537,80.968,Polonnaruwa,2021,Yala,Sandy Loam,1852.46,26.66,77.35,1.69,At306,4707.93,19676.13,3572.39,32840.93,6155.69,17332.55,3010.55,87449.98,4873.18,17.95
7.4408,81.7752,Ampara,2021,Maha,Clay,1292.86,31.06,75.62,0.61,BG358,7518.31,10125.33,5761.83,34078.57,7574.32,11812.06,1061.83,78788.89,1672.62,47.11
7.7269,81.6898,Batticaloa,2022,Maha,Clay,2449.98,32.75,87.06,1.83,At402,5695.68,18213.64,3267.69,18389.85,5784.01,19170.01,3784.12,74445.12,3685.23,20.2
7.9977,80.9224,Polonnaruwa,2022,Yala,Sandy Loam,1922.51,32.93,72.8,2.83,BG300,9141.61,16889.22,4788.06,29049.68,4797.46,10816.69,4237.44,80340.39,10492.39,7.66
8.4256,80.5394,Anuradhapura,2018,Yala,Clay,2369.86,29.58,80.03,4.09,At402,7549.75,16423.6,5183.17,32800.11,4689.98,11882.58,1375.93,80061.68,7685.41,10.42
8.2757,80.4451,Anuradhapura,2025,Maha,Loam,1698.4,29.8,75.73,3.16,At402,3213.5,8448.18,5290.4,22203.81,3635.3,13789.16,4079.97,60091.96,10018.33,6.0
9.6846,80.0529,Jaffna,2025,Maha,Loam,1128.02,26.36,80.63,2.93,At306,7462.01,16713.1,5903.41,25326.01,4614.78,17337.42,2083.33,79318.0,5779.73,13.72
7.7625,81.7376,Batticaloa,2025,Yala,Clay,1038.03,32.74,86.72,3.63,BG352,5862.67,10079.53,2625.75,20004.86,5746.13,16289.75,3640.79,63809.35,14159.55,4.51
8.2628,80.3542,Anuradhapura,2025,Maha,Sandy Loam,2106.85,29.88,82.23,2.39,BG300,4734.12,12271.67,5031.38,15287.87,3580.36,7598.03,1162.92,50377.27,8001.83,6.3
7.3916,81.6118,Ampara,2018,Maha,Loam,1711.26,26.68,79.83,2.63,BG300,4212.41,13206.22,3594.02,27317.0,6175.47,7588.95,2498.45,64844.24,7645.15,8.48
9.6476,80.1672,Jaffna,2020,Maha,Silt,2284.73,30.61,73.26,0.82,BG352,7496.93,8318.14,4343.1,33804.6,5877.37,12046.21,3573.15,75376.01,2460.29,30.64
7.5115,80.2881,Kurunegala,2018,Yala,Loam,2412.2,28.7,89.22,4.57,At306,4370.54,8832.34,2403.11,15364.44,3472.21,15879.09,1284.75,51244.43,16720.38,3.06
7.4434,80.3958,Kurunegala,2018,Maha,Silt,1034.91,31.7,75.64,1.03,BG358,7877.16,15547.31,5509.89,29701.42,7017.4,10666.45,1709.76,78530.62,3682.29,21.33
7.2997,81.638,Ampara,2024,Maha,Silt,2485.76,28.89,77.44,3.99,BG352,5385.62,19169.09,5433.65,23579.88,6754.36,16809.06,1412.5,79349.27,11617.11,6.83
7.9925,81.0749,Polonnaruwa,2018,Yala,Clay,2239.69,28.24,87.91,2.25,BG300,3075.86,18864.58,2365.15,21386.27,7750.31,19357.89,3293.75,76357.48,6269.81,12.18
7.8498,81.8172,Batticaloa,2018,Maha,Sandy Loam,1439.82,28.3,83.45,3.89,At306,8541.05,17475.42,2364.82,24888.41,3287.79,14143.88,2766.12,74242.9,10005.13,7.42
7.4463,80.4229,Kurunegala,2017,Maha,Silt,1175.6,27.0,85.23,3.28,BG300,3707.86,9009.28,4803.88,16455.26,7109.3,16181.15,1325.4,57761.81,13023.59,4.44
7.403,80.4068,Kurunegala,2024,Yala,Silt,1561.41,28.59,86.26,4.76,At402,9902.01,17040.54,3505.04,16670.01,6885.73,14259.26,2696.89,71772.19,9732.46,7.37
7.7796,81.681,Batticaloa,2021,Maha,Clay,1738.94,26.08,79.37,0.75,At402,3831.73,9410.31,4596.84,29920.9,5916.84,19508.24,2499.48,75255.76,2783.19,27.04
7.7355,81.7996,Batticaloa,2017,Maha,Silt,1335.39,32.74,70.24,4.86,At402,3302.12,18693.72,4110.8,34859.3,3368.98,14200.11,4877.21,83458.44,15477.53,5.39
9.6315,80.2402,Jaffna,2018,Maha,Clay,2043.62,29.18,82.55,3.13,At402,9308.11,8545.36,3123.85,34008.23,7451.32,12923.54,3480.53,78395.7,6929.4,11.31
7.385,81.647,Ampara,2018,Maha,Clay,1695.55,28.47,81.67,0.85,At402,9820.76,19834.53,4792.65,25721.93,4547.64,17579.34,3738.92,85361.0,3233.43,26.4
7.3338,81.7167,Ampara,2025,Yala,Loam,2233.81,32.65,84.51,3.26,BG352,5927.7,19192.74,5464.26,15904.37,3131.83,11894.02,4242.21,66731.68,6946.79,9.61
7.779,81.6977,Batticaloa,2023,Maha,Loam,1891.2,28.67,89.4,4.29,At306,8868.3,13624.32,3659.28,20468.14,3281.88,18241.39,4251.6,73394.35,17128.26,4.28
8.0858,81.0871,Polonnaruwa,2017,Yala,Clay,1833.15,31.38,88.9,4.32,BG300,4731.44,13406.53,2516.64,34081.02,6030.87,9972.36,3686.8,74661.92,11179.98,6.68
9.6426,80.0663,Jaffna,2022,Maha,Sandy Loam,1170.34,30.7,80.41,3.98,BG358,6641.14,18226.18,4207.63,26218.76,7383.27,12245.28,1536.06,75515.89,13775.98,5.48
7.9315,81.0667,Polonnaruwa,2021,Maha,Loam,1930.46,30.93,74.26,1.11,BG300,3101.81,12207.05,4359.67,22844.88,5187.37,18754.06,2393.02,68875.84,3911.68,17.61
8.3029,80.5279,Anuradhapura,2025,Maha,Loam,1594.81,30.35,87.25,4.77,BG358,4029.51,19119.05,3968.47,20164.89,5295.68,19740.42,2970.47,74945.99,15232.91,4.92
9.6421,80.0857,Jaffna,2021,Yala,Loam,1360.22,26.53,72.58,1.08,BG300,4063.32,9665.93,4563.5,18637.6,4728.34,18658.25,2895.85,63547.91,2353.43,27.0
7.3769,81.7659,Ampara,2017,Maha,Loam,1288.43,26.29,73.38,1.75,BG352,4239.07,9064.43,2482.54,24215.58,4031.67,11735.51,3013.67,59163.26,3301.35,17.92
7.8449,81.6823,Batticaloa,2024,Yala,Clay,2199.12,30.4,71.64,4.43,BG300,9446.11,8732.94,3107.51,31124.03,6741.3,9398.77,1837.4,70129.0,12696.16,5.52
7.439,81.7382,Ampara,2019,Maha,Loam,1927.38,28.58,79.25,3.86,At402,3256.78,11029.24,4853.4,32904.14,5558.39,13917.48,1428.69,72842.94,11470.99,6.35
9.6296,80.0319,Jaffna,2021,Yala,Clay,1363.71,27.88,77.55,0.59,BG358,5254.55,10537.38,3309.99,17395.24,7452.64,14716.7,3716.41,62961.25,1708.98,36.84
8.3864,80.4834,Anuradhapura,2022,Yala,Sandy Loam,1130.38,29.76,81.74,3.85,BG352,6021.62,9530.96,3135.1,22261.65,6229.59,14420.12,2424.39,64996.46,12060.91,5.39
8.4452,80.5122,Anuradhapura,2023,Maha,Sandy Loam,1355.84,26.71,73.06,1.61,BG358,4124.77,10238.8,3140.38,18467.47,7483.83,8043.04,3098.05,54417.13,6377.59,8.53
7.5104,80.4228,Kurunegala,2020,Yala,Sandy Loam,1168.06,28.78,89.39,4.39,BG300,8719.5,11094.83,2683.55,28372.86,7646.88,14237.92,3286.45,75601.95,15333.76,4.93
7.5244,80.4217,Kurunegala,2020,Maha,Silt,1280.57,28.27,78.51,2.78,BG358,4696.87,9378.04,4442.48,20772.61,5906.19,9006.72,2924.56,57192.65,5320.95,10.75
8.0641,81.0743,Polonnaruwa,2020,Maha,Sandy Loam,1504.91,26.94,71.27,4.95,At306,5256.48,17718.49,3018.56,28630.05,6801.14,14743.3,2886.3,78878.0,12709.18,6.21
7.9557,80.9139,Polonnaruwa,2021,Yala,Silt,2394.29,31.81,89.3,1.06,At402,8116.07,19260.09,2724.93,16329.93,6705.6,14468.15,4367.32,71251.63,3762.56,18.94
8.0878,80.9231,Polonnaruwa,2021,Maha,Loam,1302.44,27.15,73.29,4.17,BG300,7656.38,14276.79,3435.32,32544.01,4962.23,17615.79,2756.54,83000.95,11750.62,7.06
7.3693,81.6691,Ampara,2022,Yala,Clay,1452.07,31.23,80.05,1.54,At306,9297.02,12606.69,4174.21,33129.44,6121.19,8519.67,4759.33,78862.97,3906.66,20.19
9.638,80.0111,Jaffna,2023,Maha,Sandy Loam,1208.91,31.56,82.4,2.9,BG358,9257.25,17463.17,2606.7,21234.44,4242.45,16671.3,1134.13,72749.22,10084.49,7.21
7.364,80.3828,Kurunegala,2022,Yala,Clay,2315.15,28.39,86.43,1.0,BG358,8925.17,9529.86,3589.15,30945.91,3749.59,9980.27,3889.01,71049.03,3210.52,22.13
9.6619,80.1021,Jaffna,2023,Yala,Sandy Loam,2040.92,29.8,75.04,2.06,BG352,4271.18,18901.41,4333.57,23017.03,5310.03,19314.68,1613.41,76933.77,6000.69,12.82
7.483,80.3258,Kurunegala,2019,Yala,Silt,1917.18,26.13,87.44,4.69,At402,6955.93,16359.81,5690.0,29144.77,3762.7,14491.75,3426.86,79680.08,16040.63,4.97
7.3108,81.642,Ampara,2022,Yala,Silt,2401.55,32.48,79.02,1.01,At306,9893.89,18066.78,2498.65,33416.84,7349.48,13744.89,3365.1,88133.64,1939.68,45.44
7.6534,81.7446,Batticaloa,2019,Maha,Loam,1502.8,31.62,70.09,2.0,At402,5787.18,14448.75,5679.42,21926.92,4734.77,16587.52,2808.87,71422.64,5590.73,12.78
7.7582,81.717,Batticaloa,2020,Yala,Sandy Loam,1211.29,27.23,79.97,2.39,BG352,9403.92,12348.73,4322.35,27645.29,3065.47,15625.99,1712.14,75046.03,5083.67,14.76
8.2549,80.399,Anuradhapura,2024,Maha,Silt,1621.94,26.6,89.94,2.76,At306,7167.7,8804.92,4999.84,19198.11,7490.27,9666.82,1762.75,58163.51,7834.39,7.42
7.7439,81.7937,Batticaloa,2023,Yala,Silt,1847.26,26.46,85.51,2.54,BG352,6670.73,13289.15,3603.05,26192.81,3776.2,9365.07,4447.14,68236.38,6658.05,10.25
8.3812,80.3511,Anuradhapura,2018,Yala,Sandy Loam,1406.12,30.51,78.17,0.61,BG352,4093.07,16591.67,4635.7,15541.92,4109.86,10003.97,3687.57,57703.18,1237.71,46.62
7.7295,81.66,Batticaloa,2020,Maha,Silt,2199.87,27.25,83.05,1.57,BG352,3696.09,10918.07,4889.07,32113.93,7151.1,12163.39,3672.34,74013.96,3838.53,19.28
7.4835,80.4476,Kurunegala,2022,Yala,Silt,2344.5,26.09,71.71,1.44,At402,3185.73,10177.23,4332.17,23428.49,7463.36,17626.77,2367.27,68099.87,3794.87,17.95
7.5294,80.3987,Kurunegala,2024,Yala,Loam,1885.44,27.88,82.48,2.34,BG352,6864.33,13233.52,3177.86,33969.07,6818.03,8821.47,4473.87,77333.01,8817.15,8.77
7.6693,81.8055,Batticaloa,2024,Maha,Loam,2199.78,28.98,70.45,1.71,At306,6791.44,15601.74,3031.55,17787.12,7174.65,19797.23,3102.76,72629.85,4102.42,17.7
7.3927,81.6469,Ampara,2022,Yala,Clay,1027.59,32.4,72.36,3.09,BG352,4918.39,14650.14,4605.68,31594.84,4032.11,7142.95,1547.54,69291.69,11502.7,6.02
8.2963,80.4888,Anuradhapura,2020,Maha,Silt,1896.12,30.2,83.3,1.29,At306,9400.88,13025.25,3532.55,25378.35,3234.83,9161.68,3952.13,66851.27,4033.75,16.57
8.0085,80.9832,Polonnaruwa,2020,Yala,Silt,1368.02,28.73,75.77,2.1,At402,8033.32,11565.46,4265.62,24521.01,6318.36,19178.79,3930.29,77242.73,3924.07,19.68
7.6049,81.8261,Batticaloa,2023,Yala,Clay,1393.4,30.17,71.03,2.73,BG358,7177.9,12010.93,5083.65,17131.97,3375.69,16466.45,2981.97,64605.36,7525.57,8.58
8.0507,81.0707,Polonnaruwa,2023,Maha,Silt,1369.6,31.73,85.99,3.63,BG352,4905.02,15082.77,3443.9,16831.64,7586.57,8778.64,4800.95,61321.5,8012.47,7.65
7.9872,80.9058,Polonnaruwa,2022,Yala,Sandy Loam,1812.85,32.11,84.64,4.13,At306,7611.48,16307.32,5396.78,19993.36,5447.12,9875.72,4950.67,70470.57,7792.23,9.04
8.4461,80.4568,Anuradhapura,2023,Maha,Clay,2058.36,32.48,73.61,3.06,At306,9408.42,8407.35,4789.68,20946.98,7621.98,19623.76,4777.07,75523.67,11311.27,6.68
8.4234,80.3863,Anuradhapura,2021,Yala,Loam,2266.82,28.23,86.58,0.67,BG352,7173.89,10760.11,2482.27,16539.06,6481.44,11418.37,3899.07,57884.92,1670.74,34.65
7.4154,80.4022,Kurunegala,2023,Yala,Silt,1809.24,31.54,76.38,3.32,BG358,9201.84,15390.36,2931.84,15488.02,7350.49,7276.5,4498.81,62195.73,12834.95,4.85
7.3441,81.7498,Ampara,2017,Yala,Sandy Loam,2198.17,32.99,77.01,3.95,BG300,5813.52,13758.51,4510.02,32473.54,7920.42,16987.55,2671.07,83977.34,13519.59,6.21
7.6101,81.6562,Batticaloa,2020,Maha,Clay,1358.17,26.77,77.09,1.79,At402,5074.16,10803.29,2168.37,15357.48,7938.61,12561.05,2537.31,56799.56,4081.48,13.92
8.2977,80.4447,Anuradhapura,2018,Maha,Silt,2424.94,31.5,71.79,2.38,BG358,9153.83,19336.78,3869.61,27268.23,3835.17,19885.19,1926.69,86160.96,7685.55,11.21
7.9336,81.0214,Polonnaruwa,2018,Maha,Loam,1911.61,29.59,74.61,1.29,BG300,4543.4,10237.26,5118.34,22002.51,3289.21,19598.33,4535.14,70179.69,5145.55,13.64
9.6051,80.078,Jaffna,2023,Yala,Sandy Loam,1260.84,28.77,85.16,3.63,BG300,4077.27,17790.0,2897.76,19476.35,5684.87,14708.22,3320.34,67137.78,13541.4,4.96
9.7381,80.1568,Jaffna,2018,Yala,Clay,1398.4,26.91,87.77,4.8,At402,9034.89,17714.19,4620.97,26017.15,3434.93,12309.89,2490.75,75142.28,16279.32,4.62
7.3194,81.6857,Ampara,2022,Maha,Loam,1743.81,26.57,74.4,3.57,BG300,3532.92,18214.48,3980.59,24611.73,5962.04,17720.85,2391.24,76769.88,10869.26,7.06
7.5145,80.2711,Kurunegala,2022,Yala,Sandy Loam,1400.54,32.15,85.95,3.46,At306,8954.07,18407.53,4833.45,31740.27,6487.36,15841.83,3474.45,90244.39,7435.3,12.14
8.3968,80.5431,Anuradhapura,2021,Yala,Silt,2321.31,32.1,70.58,4.22,At306,3902.09,12021.43,4974.03,18215.2,7089.84,17817.74,3029.87,66062.97,10260.86,6.44
7.7481,81.7145,Batticaloa,2020,Maha,Loam,1925.39,32.87,82.64,1.67,At306,7438.04,14479.82,5119.38,17139.61,6805.14,14036.47,4851.97,69554.17,5330.25,13.05
8.4001,80.464,Anuradhapura,2023,Yala,Clay,2398.04,26.72,88.74,3.6,At306,3474.86,11611.56,4832.69,16347.01,5910.85,11496.48,3483.66,56248.59,13382.57,4.2
7.9364,80.9424,Polonnaruwa,2021,Yala,Loam,2460.23,32.78,84.99,1.09,At402,8307.84,8295.04,2088.49,21472.2,5443.22,17015.3,3733.18,66247.08,2618.16,25.3
7.82,81.7612,Batticaloa,2025,Maha,Clay,2495.69,28.98,79.03,1.24,BG352,8563.67,16324.19,2883.08,16647.62,6402.5,15508.65,2093.04,69324.48,2644.09,26.22
7.7016,81.761,Batticaloa,2020,Yala,Silt,1648.5,32.61,78.39,3.37,At306,5783.16,11290.58,5935.91,23186.68,7470.5,9989.41,1852.42,64570.93,10897.46,5.93
7.2686,81.6443,Ampara,2020,Yala,Loam,1552.79,32.05,79.46,4.86,At306,4298.68,18423.48,5106.39,30418.44,7223.92,16893.31,3504.88,85131.59,9095.77,9.36
9.7062,80.1064,Jaffna,2025,Yala,Loam,2381.27,30.32,85.93,2.67,At306,3821.16,9502.23,4742.26,23606.12,4002.62,13390.73,1256.84,60485.9,6386.07,9.47
7.9613,80.9461,Polonnaruwa,2020,Yala,Clay,2196.34,28.17,79.1,0.55,At402,3507.13,12709.92,3919.76,27000.41,4458.31,16034.76,4440.49,72630.48,1037.94,69.98
7.6463,81.6933,Batticaloa,2024,Yala,Loam,1720.76,26.73,74.84,4.94,BG300,3997.47,13986.66,4472.62,29049.3,5798.24,7127.02,2305.85,66772.58,9846.93,6.78
8.3092,80.4222,Anuradhapura,2021,Maha,Sandy Loam,1525.94,26.23,71.57,2.29,BG358,3929.01,14810.49,4757.86,31011.73,4000.75,9177.27,1418.27,69378.24,7681.22,9.03
7.4449,81.7107,Ampara,2019,Yala,Clay,1047.38,32.55,71.04,2.94,BG300,7963.42,18451.63,4856.35,31034.56,4697.25,17592.73,1320.46,86706.03,8833.83,9.82
9.6569,80.1197,Jaffna,2022,Maha,Clay,2225.95,29.17,82.87,2.87,BG358,8121.13,8979.56,2241.41,19942.06,3797.72,18333.19,1876.86,64243.66,7293.16,8.81
7.3728,80.2631,Kurunegala,2024,Maha,Clay,1273.18,31.53,83.17,2.74,BG352,6887.54,16630.42,2913.82,34926.68,7873.97,15454.23,1798.17,86845.29,5367.21,16.18
8.4122,80.5398,Anuradhapura,2018,Maha,Clay,1045.98,27.8,79.25,4.41,At402,8090.18,16912.48,3701.97,21918.7,4855.19,19839.44,1160.44,77212.46,13552.31,5.7
7.4713,80.4081,Kurunegala,2020,Yala,Silt,1657.92,31.08,79.73,4.43,At306,9304.91,13060.65,3107.31,26847.01,7561.82,9738.61,3491.87,73375.3,15118.92,4.85
8.072,81.098,Polonnaruwa,2021,Maha,Clay,1197.35,31.01,88.18,1.31,BG352,4662.8,19656.74,2723.91,32087.7,5461.39,10214.0,4483.0,79180.15,3841.7,20.61
7.6528,81.7821,Batticaloa,2019,Maha,Sandy Loam,1538.85,30.15,73.27,2.26,At402,9785.89,11097.6,4626.95,21503.8,6867.37,8701.36,4879.28,67369.83,5241.64,12.85
7.2813,81.6817,Ampara,2024,Yala,Clay,1110.25,27.19,80.4,2.02,BG352,8802.18,13170.65,2994.86,27342.9,6533.89,9171.54,1670.48,68759.84,6908.57,9.95
8.0414,81.0406,Polonnaruwa,2024,Maha,Sandy Loam,1995.71,29.32,86.88,4.13,BG358,7097.48,18419.26,2823.36,17238.39,4348.75,7742.13,3124.68,61667.26,7791.48,7.91
7.7474,81.8108,Batticaloa,2020,Yala,Clay,1183.16,29.17,88.68,1.92,At402,6550.64,8498.87,2593.37,34732.6,7825.59,7064.22,4807.25,72350.78,7122.09,10.16
8.3795,80.5317,Anuradhapura,2019,Maha,Clay,1682.11,29.61,79.78,3.5,BG352,3977.56,8359.68,3231.72,29093.62,4009.27,15754.62,4879.65,68493.92,11479.04,5.97
8.019,81.0648,Polonnaruwa,2021,Yala,Clay,1665.63,32.08,73.54,3.62,At306,8866.81,19335.37,4732.99,24943.5,6089.24,18295.76,3282.44,84606.88,13930.08,6.07
7.676,81.7305,Batticaloa,2021,Yala,Silt,2034.29,30.74,74.31,3.46,BG300,5757.05,15814.8,2426.37,28156.91,7997.07,7626.76,4908.7,72501.48,12856.18,5.64
9.608,80.108,Jaffna,2022,Yala,Clay,2173.58,29.97,84.77,4.45,BG300,5828.98,11924.4,4670.37,31156.92,6811.43,17371.58,2742.33,81141.68,9186.85,8.83
8.4424,80.5172,Anuradhapura,2017,Yala,Clay,1816.73,26.04,76.49,2.15,BG352,5773.21,16345.61,3554.23,23973.87,4187.72,11852.27,1909.08,66742.38,6724.31,9.93
7.4538,80.3384,Kurunegala,2021,Maha,Silt,2002.32,30.34,79.27,2.21,At306,9043.34,14228.98,3916.73,15512.84,4706.24,11942.54,2595.29,62106.3,6572.38,9.45
7.344,81.6817,Ampara,2022,Maha,Sandy Loam,1911.86,31.35,86.26,3.73,BG358,9688.67,8218.79,2783.11,15151.26,6237.37,18674.4,1973.93,63581.6,7208.55,8.82
7.4887,80.3076,Kurunegala,2023,Maha,Silt,2401.65,28.46,72.03,2.69,BG300,4797.44,11418.47,3229.16,31060.52,5695.81,11047.0,3441.34,71122.04,6455.39,11.02
7.9505,80.9232,Polonnaruwa,2023,Maha,Silt,1620.32,26.85,73.62,3.57,At306,4270.07,14301.96,4836.19,17137.54,5836.56,10335.32,4851.71,61536.44,12756.27,4.82
7.2875,81.6724,Ampara,2024,Yala,Clay,1825.34,26.3,82.66,4.78,BG352,7211.28,17830.27,5536.83,19561.6,4060.22,14942.75,2644.11,72466.78,18068.64,4.01
8.0098,81.0855,Polonnaruwa,2024,Yala,Clay,1530.13,27.66,85.61,1.74,BG300,8758.3,13084.86,4670.2,16910.71,6119.3,12872.98,3346.43,65098.81,5952.75,10.94
7.7522,81.6979,Batticaloa,2019,Yala,Clay,2294.2,27.52,71.91,0.61,At402,7493.8,15285.13,4186.79,19638.94,4954.53,14728.19,2987.07,70250.02,1281.1,54.84
7.3686,80.4485,Kurunegala,2018,Yala,Clay,2042.72,28.83,78.56,3.73,BG352,7847.05,19895.07,2513.58,17082.19,6621.69,14519.03,2096.64,69734.09,7416.91,9.4
7.5365,80.3084,Kurunegala,2021,Yala,Silt,2341.29,27.34,76.47,1.52,At306,5484.97,8833.09,4076.24,16352.25,7001.78,10038.26,3160.05,55706.8,4912.53,11.34
8.3414,80.3789,Anuradhapura,2020,Maha,Clay,1799.44,28.27,76.66,3.51,BG358,9958.98,15942.07,4231.13,29613.01,5326.03,7781.85,3249.19,77017.51,7671.69,10.04
7.418,80.4075,Kurunegala,2021,Maha,Loam,2035.01,27.41,80.72,0.94,BG358,6152.6,17073.96,3390.29,28298.23,6977.25,19053.31,1938.57,82682.84,2007.2,41.19
9.716,80.165,Jaffna,2019,Yala,Silt,2488.73,32.49,80.8,4.29,BG358,6646.71,15483.03,2356.5,30105.41,3638.57,17738.88,4128.11,80514.7,8063.28,9.99
8.0104,81.0087,Polonnaruwa,2024,Yala,Sandy Loam,1454.69,27.84,77.2,0.89,BG352,9558.7,14645.63,3222.1,22939.63,5236.01,14807.73,3062.72,74311.3,2575.05,28.86
9.6766,80.214,Jaffna,2023,Maha,Loam,2488.24,31.96,74.17,4.69,At306,3814.56,17809.4,3522.49,32559.49,7340.28,17477.03,4160.12,86292.73,9276.93,9.3
7.8284,81.7262,Batticaloa,2019,Yala,Clay,1604.47,27.21,83.9,2.06,BG352,9829.27,15691.66,5289.92,17650.49,7310.07,18995.84,2948.25,77928.01,7174.12,10.86
9.7931,80.083,Jaffna,2018,Yala,Clay,1262.26,29.52,77.97,1.16,At402,5572.74,8818.07,2103.25,17703.33,7815.58,14143.88,4863.29,60885.14,2883.75,21.11
7.3531,80.2788,Kurunegala,2019,Maha,Silt,1759.21,29.08,72.11,3.38,BG358,4512.27,15435.06,4600.8,18040.5,3306.75,17149.9,2839.2,65000.81,13481.83,4.82
8.0247,80.9795,Polonnaruwa,2018,Yala,Silt,1086.67,30.87,89.67,1.58,BG358,3995.75,9456.62,3213.1,17020.92,6460.81,7809.79,3037.69,51988.07,5673.36,9.16
7.7797,81.8019,Batticaloa,2025,Maha,Clay,1922.83,28.14,82.48,2.87,BG352,5982.58,9568.52,5546.42,23995.69,3973.11,11780.87,2656.52,64158.79,9798.04,6.55
7.7711,81.7075,Batticaloa,2020,Maha,Silt,2153.96,26.08,78.32,2.67,BG300,3134.35,11117.76,5041.16,17742.19,5676.55,9797.62,1048.48,53040.51,10538.28,5.03
7.776,81.6701,Batticaloa,2019,Yala,Clay,2202.31,32.72,79.76,0.99,BG300,6835.72,13452.53,5377.43,16961.65,5441.21,8950.63,2298.7,59792.58,2818.77,21.21
8.0592,80.9587,Polonnaruwa,2022,Yala,Sandy Loam,1563.83,28.76,79.19,4.03,BG352,9244.59,19464.02,5147.61,21308.14,6440.67,12688.84,2018.68,76994.29,7594.69,10.14
9.6824,80.1705,Jaffna,2019,Maha,Sandy Loam,2352.64,29.23,82.74,3.47,BG300,9265.82,15640.04,4455.73,16333.04,5592.04,8952.2,3949.74,64213.05,11438.86,5.61
